# Time-averaged data for fix adf
# TimeStep Number-of-rows
# Row c_gofa[1] c_gofa[2] c_gofa[3] c_gofa[4] c_gofa[5]
1000 100
1 0.9 0 0 0 0
2 2.7 0 0 0 0
3 4.5 0 0 0 0
4 6.3 0 0 0 0
5 8.1 0 0 0 0
6 9.9 0 0 0 0
7 11.7 0 0 0 0
8 13.5 0 0 0 0
9 15.3 0 0 0 0
10 17.1 0 0 0 0
11 18.9 0 0 0 0
12 20.7 0 0 0 0
13 22.5 0 0 0 0
14 24.3 0 0 0 0
15 26.1 0 0 0 0
16 27.9 0 0 0 0
17 29.7 0 0 0 0
18 31.5 0 0 0 0
19 33.3 0 0 0 0
20 35.1 0 0 0 0
21 36.9 0 0 0 0
22 38.7 0 0 0 0
23 40.5 0 0 0 0
24 42.3 9.69285e-06 0.0002 0 0
25 44.1 0.000222506 0.00482 0 0
26 45.9 0.00132324 0.0322733 0 0
27 47.7 0.00379466 0.110993 0 0
28 49.5 0.00676974 0.251433 0 0
29 51.3 0.00875657 0.433067 0 0
30 53.1 0.0091136 0.6221 0 0
31 54.9 0.00857035 0.799847 0 0
32 56.7 0.00762122 0.957967 0 0
33 58.5 0.0068159 1.09938 0 0
34 60.3 0.00670384 1.23853 0 0
35 62.1 0.00673223 1.37823 0 0
36 63.9 0.00705173 1.52453 0 0
37 65.7 0.0074309 1.67875 0 0
38 67.5 0.00798853 1.84449 0 0
39 69.3 0.00838487 2.01842 0 0
40 71.1 0.0090082 2.2053 0 0
41 72.9 0.00929021 2.398 0 0
42 74.7 0.00956913 2.59647 0 0
43 76.5 0.0100955 2.80586 3.78058e-06 6.66667e-06
44 78.3 0.0101933 3.01725 5.653e-06 1.66667e-05
45 80.1 0.0105278 3.23557 7.53833e-06 3e-05
46 81.9 0.0107661 3.45882 2.8243e-05 8e-05
47 83.7 0.0110435 3.68787 3.9552e-05 0.00015
48 85.5 0.0112248 3.92068 8.29054e-05 0.000296667
49 87.3 0.0114867 4.15892 0.000126173 0.00052
50 89.1 0.0115997 4.39948 0.000203314 0.00088
51 90.9 0.0117544 4.64321 0.000199584 0.00123333
52 92.7 0.0118785 4.88953 0.000208854 0.00160333
53 94.5 0.0119255 5.13681 0.000272877 0.00208667
54 96.3 0.012 5.3857 0.000272975 0.00257
55 98.1 0.0119637 5.63379 0.000340963 0.00317333
56 99.9 0.0120138 5.88293 0.000412442 0.00390333
57 101.7 0.0118281 6.12827 0.000496799 0.00478333
58 103.5 0.0117781 6.37251 0.000581512 0.00581333
59 105.3 0.0115547 6.61215 0.000690854 0.00703667
60 107.1 0.0114371 6.84927 0.000867787 0.00857333
61 108.9 0.0112079 7.08168 0.00100201 0.0103467
62 110.7 0.0110194 7.31021 0.00121642 0.0125
63 112.5 0.0108307 7.53481 0.00148375 0.0151267
64 114.3 0.0106068 7.75475 0.00167014 0.0180833
65 116.1 0.0103023 7.96839 0.00193347 0.0215067
66 117.9 0.0100555 8.17693 0.00231031 0.0255967
67 119.7 0.00978293 8.3798 0.00248525 0.0299967
68 121.5 0.00937199 8.57415 0.00270375 0.0347833
69 123.3 0.00905886 8.76201 0.00314671 0.0403533
70 125.1 0.00876135 8.94372 0.00356712 0.04667
71 126.9 0.00843306 9.11861 0.00388466 0.0535467
72 128.7 0.00817108 9.28807 0.00439135 0.06132
73 130.5 0.00770579 9.4479 0.00491037 0.0700133
74 132.3 0.00753545 9.60417 0.00554316 0.0798267
75 134.1 0.00711159 9.75166 0.0061107 0.0906433
76 135.9 0.00671514 9.89093 0.00689026 0.10284
77 137.7 0.00646179 10.0249 0.00810508 0.117187
78 139.5 0.00610589 10.1515 0.00898646 0.133093
79 141.3 0.00582872 10.2724 0.0100894 0.150953
80 143.1 0.00556418 10.3878 0.0115292 0.171363
81 144.9 0.00526201 10.497 0.0129103 0.19422
82 146.7 0.00495808 10.5998 0.0143078 0.219547
83 148.5 0.00474135 10.6981 0.016538 0.24882
84 150.3 0.0044799 10.791 0.0185563 0.28167
85 152.1 0.00424873 10.8792 0.020976 0.3188
86 153.9 0.00395158 10.9612 0.0228816 0.359303
87 155.7 0.0037423 11.0388 0.0259207 0.405187
88 157.5 0.00343728 11.1101 0.0278434 0.454473
89 159.3 0.00315749 11.1756 0.0298879 0.507377
90 161.1 0.00288879 11.2356 0.0316647 0.563427
91 162.9 0.00262577 11.29 0.0335089 0.622743
92 164.7 0.00236027 11.339 0.0330158 0.681187
93 166.5 0.00208881 11.3823 0.0328326 0.739307
94 168.3 0.00180142 11.4197 0.0317878 0.795577
95 170.1 0.00154091 11.4516 0.0295579 0.847897
96 171.9 0.00125651 11.4777 0.0257711 0.893513
97 173.7 0.000947976 11.4973 0.0216955 0.93192
98 175.5 0.000685763 11.5116 0.0159248 0.960107
99 177.3 0.000392705 11.5197 0.00973147 0.977333
100 179.1 0.000129146 11.5224 0.00344185 0.983427
