# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_gofr[1] c_gofr[2] c_gofr[3] c_gofr[4] c_gofr[5] c_gofr[6] c_gofr[7]
1000 150
1 0.04 0 0 0 0 0 0
2 0.12 0 0 0 0 0 0
3 0.2 0 0 0 0 0 0
4 0.28 0 0 0 0 0 0
5 0.36 0 0 0 0 0 0
6 0.44 0 0 0 0 0 0
7 0.52 0 0 0 0 0 0
8 0.6 0 0 0 0 0 0
9 0.68 0 0 0 0 0 0
10 0.76 0 0 0 0 0 0
11 0.84 0 0 0 0 0 0
12 0.92 0 0 0 0 0 0
13 1 0 0 0 0 29.6191 2
14 1.08 0 0 0 0 0 2
15 1.16 0 0 0 0 0 2
16 1.24 0 0 0 0 0 2
17 1.32 0 0 0 0 0 2
18 1.4 0 0 0 0 0 2
19 1.48 0 0 0.00180409 0.000266667 0.0166822 2.00247
20 1.56 0 0 0.00446555 0.001 0.22158 2.03887
21 1.64 0 0 5.5301 1.00467 0.859258 2.19487
22 1.72 0 0 0.0611142 1.01687 1.4105 2.47653
23 1.8 0 0 0.148504 1.04933 1.48912 2.8022
24 1.88 0 0 0.301345 1.1212 1.22873 3.09533
25 1.96 0 0 0.510522 1.25353 0.856157 3.31733
26 2.04 0 0 0.719134 1.45547 0.598327 3.4854
27 2.12 0 0 0.952998 1.74447 0.417553 3.61207
28 2.2 0 0 1.12258 2.11107 0.291214 3.7072
29 2.28 0 0 1.27156 2.55707 0.239598 3.79127
30 2.36 0 0 1.33868 3.06013 0.191709 3.86333
31 2.44 0.00664068 0.00133333 1.3033 3.58367 0.205226 3.9458
32 2.52 0.204205 0.0450667 1.2256 4.1088 0.225223 4.04233
33 2.6 1.19194 0.3168 1.10487 4.61273 0.281421 4.17073
34 2.68 2.52828 0.9292 0.977436 5.0864 0.372554 4.35133
35 2.76 2.97657 1.69387 0.847663 5.52207 0.499481 4.60813
36 2.84 2.51027 2.37667 0.783187 5.94827 0.687035 4.98213
37 2.92 1.83255 2.9036 0.724755 6.3652 0.874305 5.48527
38 3 1.38204 3.32307 0.727021 6.80667 1.1063 6.15727
39 3.08 1.11447 3.6796 0.74693 7.28473 1.33186 7.01
40 3.16 0.915818 3.988 0.774604 7.8066 1.4836 8.00987
41 3.24 0.847426 4.288 0.810339 8.38053 1.5602 9.11527
42 3.32 0.856222 4.60627 0.853695 9.0154 1.53808 10.2595
43 3.4 0.846845 4.9364 0.921868 9.7344 1.46732 11.4043
44 3.48 0.856025 5.286 0.977393 10.533 1.34909 12.5069
45 3.56 0.884747 5.66413 1.02861 11.4125 1.27417 13.5968
46 3.64 0.880603 6.0576 1.0842 12.3817 1.18128 14.6531
47 3.72 0.903993 6.47947 1.13783 13.4441 1.09034 15.6715
48 3.8 0.95313 6.9436 1.15742 14.5717 1.04313 16.6881
49 3.88 0.971486 7.4368 1.18744 15.7777 0.995707 17.6997
50 3.96 0.974234 7.952 1.16691 17.0123 0.988702 18.7461
51 4.04 0.999501 8.50213 1.13218 18.2591 0.97039 19.8151
52 4.12 1.0349 9.09453 1.09318 19.511 0.971655 20.9282
53 4.2 1.05166 9.72013 1.07316 20.7882 0.963272 22.075
54 4.28 1.07359 10.3833 1.05915 22.0972 0.969066 23.2731
55 4.36 1.08634 11.0797 1.03348 23.4227 0.964282 24.5102
56 4.44 1.06098 11.7851 1.03046 24.7932 0.952546 25.7775
57 4.52 1.08975 12.5359 1.02197 26.2019 0.959934 27.1011
58 4.6 1.09945 13.3204 1.0112 27.6455 0.953118 28.4623
59 4.68 1.04432 14.0917 1.00761 29.1344 0.958652 29.8793
60 4.76 1.07338 14.9119 1.00529 30.6711 0.958307 31.3447
61 4.84 1.0684 15.7559 1.02046 32.2839 0.96092 32.8639
62 4.92 1.02953 16.5963 0.99412 33.9075 0.971304 34.4507
63 5 1.02026 17.4564 0.989283 35.5761 0.977969 36.1008
64 5.08 1.00293 18.3292 0.982149 37.2861 0.98986 37.8248
65 5.16 0.9694 19.1996 0.967444 39.0239 1.00426 39.6294
66 5.24 0.971851 20.0995 0.95562 40.7942 1.01096 41.5028
67 5.32 0.952621 21.0087 0.956982 42.6215 1.01296 43.4377
68 5.4 0.94291 21.9359 0.960183 44.5105 1.0206 45.4462
69 5.48 0.936647 22.8844 0.957361 46.4502 1.02072 47.5149
70 5.56 0.931759 23.8557 0.963605 48.4599 1.01502 49.6326
71 5.64 0.919187 24.8417 0.971006 50.5438 1.00947 51.7997
72 5.72 0.922175 25.8592 0.981908 52.7113 1.01277 54.0361
73 5.8 0.918538 26.9012 0.986967 54.9513 0.999764 56.3059
74 5.88 0.941402 27.9988 0.995448 57.2733 0.988287 58.6119
75 5.96 0.945797 29.1317 1.00718 59.687 0.992914 60.9923
76 6.04 0.968488 30.3232 1.00205 62.1533 0.977021 63.3978
77 6.12 0.976376 31.5564 0.994702 64.6669 0.985114 65.8879
78 6.2 0.984771 32.8329 1.01894 67.3094 0.967334 68.3975
79 6.28 0.994429 34.1555 1.01304 70.0049 0.972301 70.9854
80 6.36 1.01356 35.538 1.01246 72.7679 0.98001 73.6607
81 6.44 1.00769 36.9473 1.01007 75.5941 0.981347 76.4075
82 6.52 1.02972 38.4235 0.997899 78.4561 0.983833 79.2301
83 6.6 1.04375 39.9567 1.00584 81.4121 0.993486 82.1508
84 6.68 1.05346 41.5419 0.997172 84.4141 0.982561 85.1098
85 6.76 1.03015 43.1293 0.988652 87.4622 0.989252 88.1607
86 6.84 1.04921 44.7847 0.98995 90.5869 1.00016 91.3187
87 6.92 1.03888 46.4623 1.00209 93.8244 1.0072 94.5738
88 7 1.06521 48.2224 1.00575 97.1493 1.00651 97.9023
89 7.08 1.03394 49.9701 0.994172 100.511 1.01912 101.35
90 7.16 1.0223 51.7375 0.998583 103.965 1.01183 104.851
91 7.24 1.00316 53.5107 0.995922 107.487 1.01817 108.453
92 7.32 1.00629 55.3289 1.00254 111.111 1.02068 112.144
93 7.4 1.01072 57.1953 1.00318 114.818 1.01278 115.887
94 7.48 0.987588 59.0587 1.00467 118.61 1.01484 119.719
95 7.56 0.991702 60.97 1.00152 122.472 1.01776 123.644
96 7.64 0.994616 62.9277 1.01131 126.454 1.01392 127.638
97 7.72 0.978952 64.8952 1.00457 130.494 1.0105 131.703
98 7.8 1.00265 66.9523 1.00912 134.636 1.01144 135.856
99 7.88 0.991179 69.0277 1.01325 138.88 1.00951 140.086
100 7.96 0.97329 71.1073 1.00461 143.175 1.00136 144.368
101 8.04 0.991574 73.2688 1.00896 147.575 1.00836 148.768
102 8.12 0.979988 75.4477 1.00361 152.04 1.00395 153.235
103 8.2 0.997653 77.7099 1.00111 156.581 0.997267 157.76
104 8.28 0.983543 79.9837 1.00419 161.226 0.993074 162.355
105 8.36 0.995076 82.3289 0.999891 165.94 0.991148 167.03
106 8.44 0.992066 84.712 0.997866 170.736 0.988825 171.784
107 8.52 1.00669 87.1763 1.00211 175.644 0.988469 176.627
108 8.6 1.00452 89.6816 0.995285 180.61 0.987728 181.557
109 8.68 1.00776 92.242 0.996041 185.673 0.992064 186.601
110 8.76 1.00196 94.8348 0.999694 190.849 0.989565 191.726
111 8.84 1.00617 97.4863 0.999701 196.119 0.99804 196.99
112 8.92 1.01076 100.198 0.998069 201.477 0.989555 202.303
113 9 0.99634 102.92 1.00141 206.949 0.993261 207.733
114 9.08 1.00365 105.71 0.988063 212.445 0.995246 213.271
115 9.16 0.991667 108.516 0.993338 218.068 0.990123 218.878
116 9.24 1.00773 111.417 0.992902 223.787 1.00194 224.651
117 9.32 1.00716 114.367 0.999205 229.643 1.00151 230.522
118 9.4 0.992151 117.324 0.995052 235.575 1.00337 236.505
119 9.48 0.99743 120.347 0.999165 241.633 1.00342 242.591
120 9.56 1.00681 123.449 1.00142 247.808 1.0029 248.777
121 9.64 1.0048 126.598 0.999757 254.076 1.00986 255.111
122 9.72 1.00524 129.801 0.997226 260.432 1.00297 261.506
123 9.8 0.991611 133.012 1.00073 266.916 1.00462 268.017
124 9.88 0.992144 136.278 1.00657 273.545 1.00495 274.638
125 9.96 1.00891 139.653 1.00241 280.254 0.996859 281.312
126 10.04 1.00231 143.06 1.00652 287.099 0.999792 288.113
127 10.12 0.994212 146.494 1.00001 294.009 1.00377 295.051
128 10.2 0.998515 149.997 1.00161 301.039 1.00739 302.125
129 10.28 0.994222 153.54 1.00281 308.189 0.998027 309.243
130 10.36 0.992631 157.133 1.00024 315.432 1.0013 316.495
131 10.44 1.01401 160.86 0.99832 322.773 0.99786 323.836
132 10.52 0.996214 164.578 0.997337 330.219 0.999433 331.3
133 10.6 1.00903 168.401 1.00441 337.833 0.994567 338.842
134 10.68 1.00222 172.256 1.00033 345.531 1.00331 346.565
135 10.76 1.00592 176.183 1.0039 353.373 0.998663 354.369
136 10.84 1.00008 180.146 1.00233 361.319 0.997091 362.276
137 10.92 1.00643 184.193 1 369.364 0.998664 370.313
138 11 0.995541 188.255 1.00006 377.528 1.00218 378.497
139 11.08 1.01088 192.44 0.99888 385.801 0.998289 386.768
140 11.16 1.00425 196.658 0.99932 394.198 1.00238 395.193
141 11.24 0.994073 200.893 0.995751 402.685 0.998438 403.706
142 11.32 1.00031 205.215 0.999841 411.329 0.998128 412.338
143 11.4 0.994355 209.573 0.99616 420.063 0.99788 421.09
144 11.48 0.999476 214.015 0.997501 428.932 0.999687 429.982
145 11.56 0.997023 218.508 1.00509 437.994 0.998672 438.989
146 11.64 0.996526 223.061 1.00566 447.186 0.996328 448.099
147 11.72 0.998656 227.687 1.00052 456.458 0.999033 457.36
148 11.8 1.0016 232.39 0.997586 465.83 1.00169 466.773
149 11.88 1.00018 237.15 1.00155 475.366 0.999273 476.291
150 11.96 1.00757 242.01 1.00063 485.023 1.00019 485.947
